source,latitude,longitude,complete_address,archetype,number_stories,year_built_u,occupany_u,building_area_m2,roof_shape_u,construction_type_u,wall_cladding_u,status_u,wind_damage_rating_u,steer_damage_rating,completed_by,front_elevation_orientation,building_urban_setting,building_position_on_street,buidling_height_m
undergrad,38.643147,-90.340933,"601 S Meramec Ave, Saint Louis, MO 63105",19,2,1929,residential,232,gable,masonry_un,"brick, vinyl",undamaged,0,,Brian,e,isolated,recessed,6.7
undergrad,38.643275,-90.341622,"8020 Orlando Dr, Saint Louis, MO 63105",19,2,1938,residential,154,gable,masonry_un,"stucco, brick, wood,vinyl",undamaged,0,,Brian,n,isolated,recessed,7
undergrad,38.643303,-90.342125,"8028 Orlando Dr, Saint Louis, MO 63105",19,2,1940,residential,205,gable,masonry_un,"brick, stone, vinyl",undamaged,1,,Brian,n,isolated,recessed,7.3
undergrad,38.643328,-90.342372,"8032 Orlando Dr, Saint Louis, MO 63105",19,2,1940,residential,159,gable,masonry_un,brick,minor_damage,1,,Brian,n,isolated,recessed,7
undergrad,38.643717,-90.342,"8027 Orlando Dr, Saint Louis, MO 63105",19,2,1930,residential,166,gable,masonry_un,"brick,stucco",minor_damage,1,,Brian,s,isolated,recessed,6.4
undergrad,38.643642,-90.341536,"8021 Orlando Dr, Saint Louis, MO 63105",19,2,1928,residential,109,hip,masonry_un,brick,minor_damage,1,,Brian,s,isolated,recessed,6.4
undergrad,38.643639,-90.341303,"8011 Orlando Dr, Saint Louis, MO 63105",19,2,1935,residential,215,gable,masonry_un,"brick,stucco",undamaged,0,,Brian,s,isolated,recessed,6.4
undergrad,38.643614,-90.341044,"8007 Orlando Dr, Saint Louis, MO 63105",19,2,1935,residential,170,gable,masonry_un,"brick,vinyl",undamaged,0,,Brian,s,isolated,recessed,6.3
undergrad,38.643631,-90.340847,"511 S Meramec Ave, Saint Louis, MO 63105",19,2,1948,residential,121,hip,masonry_un,"brick,wood, stone",undamaged,0,,Brian,e,isolated,recessed,7
undergrad,38.644042,-90.340811,"8000 Rosiline Dr, Saint Louis, MO 63105",19,2,1935,residential,219,gable,masonry_un,"brick,stucco,wood,stone",undamaged,0,,Brian,n,isolated,recessed,7.5
undergrad,38.644047,-90.341067,"8010 Rosiline Dr, Saint Louis, MO 63105",19,2,1938,residential,153,gable,masonry_un,"brick,stone,wood",undamaged,0,,Brian,n,isolated,recessed,7.4
undergrad,38.644067,-90.341272,"8016 Rosiline Dr, Saint Louis, MO 63105",19,2,1934,residential,140,gable,masonry_un,"brick,stucco",undamaged,0,,Brian,n,isolated,recessed,6.4
undergrad,38.644075,-90.341467,"8020 Rosiline Dr, Saint Louis, MO 63105",19,2,1940,residential,189,gable,masonry_un,brick,undamaged,0,,Brian,n,isolated,recessed,6.4
undergrad,38.644494,-90.341514,"8025 Rosiline Dr, Saint Louis, MO 63105",19,2,1950,residential,157,gable,masonry_un,brick,undamaged,0,,Brian,s,isolated,recessed,6.3
undergrad,38.644458,-90.341097,"8011 Rosiline Dr, Saint Louis, MO 63105",19,2,1936,residential,183,gable,masonry_un,brick,undamaged,0,,Brian,s,isolated,recessed,6.5
undergrad,38.644425,-90.340703,"8001 Rosiline Dr, Saint Louis, MO 63105",19,2,1935,residential,145,gable,masonry_un,brick,undamaged,0,,Brian,s,isolated,recessed,6.5
undergrad,38.641533,-90.34055,"700 S Meramec Ave, Saint Louis, MO 63105",19,2,1937,residential,186,hip,masonry_un,"brick,stone,wood",undamaged,0,,Brian,w,isolated,recessed,7.2
undergrad,38.64195,-90.340486,"7915 Davis Dr, Saint Louis, MO 63105",19,2,1927,residential,214,gable,masonry_un,"stucco,brick",undamaged,0,,Brian,w,isolated,recessed,7.8
undergrad,38.642108,-90.340506,"628 S Meramec Ave, Saint Louis, MO 63105",19,2,1936,residential,125,gable,masonry_un,brick,undamaged,0,,Brian,w,isolated,recessed,7
undergrad,38.643031,-90.340369,"606 S Meramec Ave, Saint Louis, MO 63105",19,2,1949,residential,184,gable,masonry_un,brick,minor_damage,1,,Brian,w,isolated,recessed,6.5
undergrad,38.643944,-90.340253,"500 S Meramec Ave, Saint Louis, MO 63105",19,2,1936,residential,177,gable,masonry_un,"brick,stone",undamaged,0,,Brian,w,isolated,recessed,7.5
undergrad,38.644175,-90.340231,"420/418 S Meramec Ave, Saint Louis, MO 63105",19,2,1939,residential,170,gable,masonry_un,"brick,stucco",undamaged,0,,Brian,w,isolated,recessed,6.4
undergrad,38.644508,-90.340161,"410 S Meramec Ave, Saint Louis, MO 63105",19,2,1935,residential,126,gable,masonry_un,"brick,stone",undamaged,0,,Brian,w,isolated,recessed,6.9
undergrad,38.643575,-90.339844,"509 S Central Ave, Saint Louis, MO 63105",19,2,1947,residential,234,gable,masonry_un,"brick,vinyl",minor_damage,1,,Brian,e,isolated,recessed,6.4
undergrad,38.641242,-90.339317,"7812 Davis Dr, Saint Louis, MO 63105",19,2,1920,residential,236,hip,masonry_un,brick,undamaged,0,,Brian,n,isolated,recessed,7.9
undergrad,38.641431,-90.338636,"7815 Davis Dr, Saint Louis, MO 63105",19,2,1937,residential,281,hip,masonry_un,"brick,stone,wood",undamaged,0,,Brian,s,isolated,recessed,7.9
undergrad,38.641389,-90.340592,"710 S Meramec Ave, Saint Louis, MO 63105",19,2,1934,residential,208,gable,masonry_un,"brick,stucco,vinyl",undamaged,0,,Brian,w,isolated,recessed,7
undergrad,38.640958,-90.338975,"7800 Davis Dr, Saint Louis, MO 63105",19,2,1934,residential,126,gable,masonry_un,"brick,stucco",undamaged,0,,Brian,e,isolated,recessed,7.3
undergrad,38.641225,-90.338522,"7807 Davis Dr, Saint Louis, MO 63105",19,2,1935,residential,148,gable,masonry_un,"brick,vinyl",minor_damage,1,,Brian,w,isolated,recessed,7
undergrad,38.641033,-90.338389,"7801 Davis Dr, Saint Louis, MO 63105",19,2,1933,residential,140,gable,masonry_un,"brick, stone, vinyl",undamaged,0,,Brian,w,isolated,recessed,6.5
undergrad,38.640739,-90.338061,"7763 Davis Dr, Saint Louis, MO 63105",19,2,1933,residential,234,gable,masonry_un,"brick,wood, stone",undamaged,0,,Brian,s,isolated,recessed,7.4
undergrad,38.640619,-90.337864,"7757 Davis Dr, Saint Louis, MO 63105",19,2,1935,residential,171,gable,masonry_un,brick,undamaged,0,,Brian,s,isolated,recessed,6.7
undergrad,38.640489,-90.337375,"7745 Davis Dr, Saint Louis, MO 63105",19,2,1932,residential,179,hip,masonry_un,"stucco, brick, wood,stone",undamaged,0,,Brian,s,isolated,recessed,7.5
undergrad,38.640436,-90.336914,"7735 Davis Dr, Saint Louis, MO 63105",19,2,1947,residential,183,hip,masonry_un,"stucco,brick,vinyl",undamaged,0,,Brian,s,isolated,recessed,6.5
undergrad,38.64045,-90.336653,"7727 Davis Dr, Saint Louis, MO 63105",19,2,1928,residential,142,gable,masonry_un,"brick,stone,wood",minor_damage,1,,Brian,s,isolated,recessed,7.4
undergrad,38.640597,-90.336056,"7715 Davis Dr, Saint Louis, MO 63105",19,2,1931,residential,156,gable,masonry_un,"brick,stone,vinyl",undamaged,0,,Brian,s,isolated,recessed,7.5
